	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
mreD	182	217	357	255	159	167	298	449	1	4	0	2
mrp	558	756	797	841	469	594	605	1404	13	23	6	8
mrr	467	452	419	423	316	486	274	525	7	3	0	2
msbA	387	415	966	726	270	455	658	1527	8	7	7	2
mscK	391	525	912	555	358	494	568	1238	6	8	6	1
mscL	611	568	460	396	450	671	407	689	4	4	0	0
mscM	731	757	1363	1332	648	726	782	1561	12	13	4	5
mscS	87	112	128	125	62	121	142	288	2	4	5	0
msrA	519	577	316	322	373	512	201	444	6	10	1	2
msrB	933	1059	1733	1326	756	987	1758	3283	11	9	2	3
msrC	1056	1086	1349	1192	801	946	1096	1614	7	7	4	3
msrP	33	64	30	32	29	37	38	81	1	1	0	1
msrQ	24	41	31	28	25	20	22	34	0	0	0	2
msyB	296	455	76	90	175	456	75	134	2	4	2	1
mtfA	2671	3204	2682	2980	2183	2945	1518	3408	32	24	10	9
mtgA	1154	1138	622	646	973	1078	404	735	4	7	2	1
mtlA	402	559	314	323	257	489	158	603	28	32	12	6
mtlD	370	518	159	163	205	439	105	310	18	32	5	3
mtlR	666	602	902	542	717	730	291	746	5	8	3	3
mtn	1068	1202	1062	1029	1040	1257	667	1524	10	13	8	2
mtr	333	344	451	498	382	430	310	578	8	4	0	1
mug	144	161	167	133	109	154	120	224	0	1	1	1
mukB	3592	5430	5325	5364	2088	3783	2859	9288	96	125	34	37
mukE	553	853	792	708	396	720	490	1239	14	24	4	5
mukF	975	1289	1255	1301	716	1061	732	2006	19	33	7	11
murA	388	564	1078	814	325	530	795	2091	15	13	4	6
murB	387	438	470	320	332	524	571	1373	6	11	2	1
murC	2395	3382	2190	2324	1835	2791	1275	2587	38	51	15	13
murD	1346	2239	1364	1422	935	1592	714	2099	30	50	16	12
murE	1168	1789	1206	1164	824	1387	748	1812	28	50	8	20
murF	1024	1599	1175	1039	701	1135	704	1649	22	55	12	7
murG	1287	1999	1145	1056	962	1552	682	1486	13	31	8	5
murI	844	1059	1204	1431	729	1067	822	1515	24	23	7	4
murJ	271	291	420	302	249	269	361	435	4	4	2	0
murP	155	228	235	261	103	149	85	198	4	5	0	2
murQ	125	165	205	273	89	136	83	257	2	9	1	1
murR	32	37	44	59	11	29	25	61	0	0	0	0
mutH	451	491	753	618	360	441	505	542	2	1	1	0
mutL	801	997	1216	1052	663	951	983	1762	21	29	8	4
mutM	30	31	66	71	25	28	109	98	1	0	0	0
mutS	700	904	1546	1364	543	901	1105	2920	14	12	4	7
mutT	290	287	352	332	287	294	193	353	1	2	0	1
mutY	658	681	929	873	556	726	967	1327	7	2	3	2
mzrA	156	204	172	171	130	202	154	262	1	1	0	1
naRNA1	16	29	115	63	26	44	47	136	2	0	0	0
naRNA2	19	18	52	41	14	19	16	77	1	0	0	0
naRNA3	14	7	35	30	12	24	21	54	1	0	0	0
naRNA4	8	8	17	12	8	16	12	32	0	0	0	0
naRNA5	6	5	11	17	4	10	3	23	0	0	1	0
naRNA6	3	3	2	10	2	7	0	6	0	0	0	0
nac	15	21	11	12	13	20	15	29	0	0	0	0
nadA	2471	2625	3415	3884	1755	2224	2885	4007	16	10	2	2
nadB	81	123	98	108	56	111	65	153	2	3	1	1
nadC	449	555	513	478	357	513	304	814	4	13	2	1
