	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
ychF	427	557	850	659	314	625	668	1678	11	14	4	5
ychH	1357	1790	958	861	1270	1645	593	1725	27	40	7	6
ychJ	1458	1402	2706	2006	1470	1713	2042	2563	12	3	1	1
ychN	353	366	255	286	270	320	167	310	7	1	4	1
ychO	377	522	458	451	353	481	264	473	1	1	1	1
ychQ	153	242	369	203	194	267	196	572	4	3	1	0
ychS	1	0	1	0	0	0	1	0	0	0	0	0
ychT	28	21	38	19	32	28	31	76	1	0	0	0
yciA	112	105	163	100	125	128	124	210	0	0	0	0
yciB	298	388	439	313	278	354	245	583	4	3	1	2
yciC	578	648	713	619	510	585	413	721	0	1	1	9
yciE	83	69	55	48	52	108	41	96	0	0	0	0
yciF	41	52	23	28	37	73	15	35	0	0	0	0
yciG	19	9	8	0	7	17	6	6	0	0	0	0
yciH	86	69	115	75	48	96	81	137	2	0	0	0
yciI	48	38	40	37	37	40	26	66	1	0	0	2
yciK	503	532	602	637	309	431	363	841	8	8	1	0
yciN	262	337	607	599	258	351	366	881	6	1	1	4
yciO	231	307	266	242	189	337	194	491	5	5	5	1
yciQ	311	370	411	313	325	436	315	457	3	3	2	0
yciT	475	551	751	724	409	530	740	991	3	5	0	1
yciU	139	164	136	119	102	146	93	249	4	3	0	1
yciW	27	32	63	38	20	25	33	115	2	1	0	0
yciX	135	220	71	55	187	227	127	185	2	3	0	0
yciY	145	185	371	296	145	230	297	478	6	3	1	2
yciZ	313	364	415	295	401	353	281	326	1	3	1	1
ycjD	112	146	188	189	95	123	90	168	0	0	0	1
ycjF	174	186	422	383	103	141	404	517	4	0	1	0
ycjG	525	775	614	717	417	595	368	834	7	14	3	1
ycjM	68	84	61	53	63	70	42	74	0	2	0	0
ycjN	47	66	26	23	35	40	21	40	1	0	1	0
ycjO	15	11	13	10	14	16	6	15	0	1	0	0
ycjP	38	28	21	17	29	33	18	34	0	0	0	0
ycjQ	31	57	19	27	18	30	20	43	0	3	1	0
ycjR	35	46	17	13	19	36	11	39	0	2	0	0
ycjS	33	46	27	23	17	31	12	32	0	2	0	0
ycjT	46	67	36	32	28	53	34	55	0	2	0	0
ycjU	8	5	6	5	1	4	1	7	1	0	0	0
ycjV	6	15	6	11	3	6	3	6	0	0	0	0
ycjW	69	83	145	117	64	96	126	158	0	0	0	0
ycjX	198	234	446	398	149	190	378	679	3	4	3	0
ycjY	18	13	16	17	16	16	8	14	0	1	0	0
ydaE	1	1	3	3	0	0	1	0	0	0	0	0
ydaF	15	10	21	17	4	4	19	33	0	0	0	0
ydaG	7	22	16	13	3	7	15	39	1	0	0	0
ydaS	0	2	3	2	2	3	5	3	0	0	0	0
ydaT	7	5	6	3	5	5	6	9	0	0	0	0
ydaU	44	38	45	51	25	50	32	47	0	0	0	0
ydaV	21	42	26	30	17	37	14	26	0	2	0	0
ydaW	12	26	21	25	17	15	16	31	0	0	0	0
ydaY	7	5	8	6	2	3	9	18	0	0	0	0
ydbD	37	73	49	46	54	61	26	52	2	0	1	0
ydbH	625	818	1007	1104	525	771	609	1101	5	11	5	1
ydbJ	985	1060	675	876	753	954	421	626	4	7	3	1
ydbK	5863	7968	2369	2439	4311	6930	1631	3861	67	106	29	32
ydbL	37	70	89	84	34	73	73	115	0	2	0	0
ydcA	689	586	894	615	604	662	604	830	2	1	0	1
ydcC	47	44	56	54	47	63	43	79	1	0	0	0
ydcD	50	45	126	94	49	72	115	98	1	0	0	0
ydcF	75	94	208	136	63	89	133	256	1	0	0	1
ydcH	3488	2564	575	697	2559	3089	497	669	3	4	0	5
ydcI	126	128	282	227	114	106	265	417	1	0	0	0
ydcJ	278	320	106	104	165	271	63	160	8	4	1	1
ydcK	87	130	32	42	48	96	27	68	1	2	0	0
ydcL	160	184	196	146	73	205	121	286	6	0	1	0
ydcO	129	119	112	98	104	110	53	124	0	1	1	1
ydcR	142	156	215	179	120	151	252	280	3	1	0	1
ydcS	787	1276	79	73	492	1087	54	106	7	11	4	3
ydcT	317	461	13	19	216	486	19	27	6	5	0	0
ydcU	439	604	52	48	374	561	36	49	1	8	3	0
ydcV	227	354	19	19	202	334	16	23	5	4	1	1
ydcY	108	144	188	175	86	188	151	449	5	2	2	1
ydcZ	154	192	223	205	161	191	117	189	2	0	0	0
yddA	12	11	98	58	8	12	110	132	1	0	0	0
yddB	22	47	362	307	16	29	275	772	1	0	0	0
yddE	103	141	153	156	105	127	109	274	5	6	1	3
yddG	37	38	58	60	35	30	48	110	0	0	0	0
yddH	41	29	26	21	31	45	20	35	1	2	0	0
yddJ	0	1	1	0	0	0	0	5	0	0	0	0
yddK	0	0	0	0	1	2	1	2	0	0	0	0
yddL	0	0	0	2	0	0	0	0	0	0	0	0
yddM	50	70	139	116	50	74	73	272	1	3	0	2
yddY	37	55	8	8	34	42	16	13	1	0	0	0
ydeA	42	43	54	38	35	39	63	59	1	0	0	1
ydeE	257	244	434	431	226	195	250	371	2	1	0	0
ydeI	13	12	2	5	10	10	4	10	0	0	0	0
ydeJ	4	3	0	1	1	1	0	7	0	0	0	0
ydeM	889	1210	96	83	892	1126	57	92	4	10	0	0
ydeN	5081	9372	810	694	4458	9224	606	1329	90	101	31	35
ydeO	2	0	2	0	1	3	4	1	0	0	0	0
ydeP	13	13	22	12	1	11	15	27	0	0	0	0
ydeQ	0	0	1	1	0	1	3	4	1	0	0	0
ydeR	0	0	2	0	0	2	2	2	1	0	0	0
ydeS	0	0	2	0	0	2	0	1	0	0	0	0
ydeT	0	2	6	0	2	0	0	4	0	0	0	0
ydfA	4	9	11	10	4	10	7	17	0	0	0	0
ydfB	2	9	6	11	6	10	3	17	0	0	0	0
ydfC	23	46	43	45	32	21	29	33	0	0	0	0
ydfD	9	10	13	7	12	10	1	7	0	0	0	0
ydfE	37	58	26	33	21	29	16	40	0	0	0	1
ydfG	1087	1141	1136	1065	709	981	736	1739	19	10	7	4
ydfI	10	16	25	21	6	25	11	22	1	2	0	0
ydfJ	6	12	11	9	7	11	9	15	0	0	1	0
ydfK	923	1501	1719	1556	1018	1841	1457	3229	8	4	2	1
ydfO	21	22	13	14	23	27	14	23	0	0	0	0
ydfR	20	13	22	11	16	27	23	48	1	0	0	0
ydfT	30	33	40	34	34	31	26	34	0	0	0	0
ydfU	3	7	10	6	1	6	3	11	0	0	0	0
ydfV	9	6	17	14	10	15	13	21	0	0	0	0
ydfW	1	1	1	1	2	2	1	7	0	0	0	0
ydfX	1	3	4	7	2	4	4	6	0	0	0	0
ydfZ	47	69	95	71	35	62	44	134	0	1	0	0
ydgA	1603	2705	1205	1075	1119	2313	772	2242	34	34	8	12
ydgC	113	137	214	141	119	136	217	211	0	0	1	0
ydgD	2557	2675	1538	1235	2290	2896	991	1435	6	7	1	1
ydgH	1085	1152	1635	1441	883	1139	1054	1949	18	5	8	5
ydgI	165	158	986	723	148	175	676	899	2	0	1	0
ydgJ	356	341	376	384	233	315	284	447	2	2	3	0
ydgK	168	226	721	444	177	268	524	852	3	1	0	0
ydgU	1	3	3	0	0	2	2	2	0	0	0	0
ydhF	3625	3699	1806	2041	2934	3631	932	1847	17	20	2	5
ydhI	142	131	171	132	113	162	129	217	1	0	0	0
ydhJ	70	126	119	140	70	146	106	241	1	2	0	0
ydhK	69	89	106	81	49	107	86	133	3	1	0	1
ydhL	141	138	76	96	102	144	64	75	2	0	0	0
ydhP	252	301	325	255	219	282	178	301	4	4	0	0
ydhQ	1643	1619	1361	1379	1131	1524	1020	1586	8	19	3	6
ydhR	406	369	367	268	406	455	335	491	3	8	4	1
ydhS	845	1041	153	177	545	941	136	231	6	2	2	0
ydhT	81	131	26	26	139	170	18	52	6	7	0	5
ydhU	100	113	16	32	173	189	26	43	2	9	4	2
ydhV	2430	3387	234	395	2340	3451	127	265	75	158	34	24
ydhW	387	618	31	52	429	603	34	46	17	28	10	5
ydhX	192	298	30	35	237	379	19	39	2	12	5	1
ydhY	1174	1598	121	265	1013	1558	77	228	32	51	13	17
ydiB	12	18	10	11	6	10	10	25	0	0	0	0
ydiE	1	5	36	20	5	7	14	52	0	0	0	0
ydiF	4	5	7	7	8	4	8	10	0	0	0	0
ydiH	159	214	268	219	159	248	172	419	2	1	1	1
ydiJ	1961	2356	3337	3462	1371	1883	2065	4586	21	19	5	6
ydiK	524	616	763	604	432	558	481	779	5	8	1	4
ydiL	28	30	20	30	22	21	15	30	1	0	0	0
ydiM	17	11	3	16	13	23	5	6	0	0	0	2
ydiN	1	1	1	0	1	1	1	1	0	1	0	0
ydiO	5	17	23	24	5	10	9	28	0	0	2	0
ydiP	29	33	26	24	20	40	21	32	0	0	0	0
ydiQ	28	30	23	33	24	16	13	12	0	0	0	0
ydiR	17	21	24	19	6	21	12	14	0	0	0	0
ydiS	42	25	22	29	18	34	30	48	1	0	0	0
ydiT	1	4	2	2	0	4	2	5	0	0	0	0
ydiY	22	34	90	56	25	48	81	193	1	1	0	1
ydiZ	93	103	28	19	41	99	30	45	0	0	0	0
ydjA	196	325	273	281	151	235	247	511	8	5	3	4
ydjE	69	62	109	66	63	70	57	95	0	0	0	0
ydjF	139	151	214	166	109	150	167	350	0	1	1	0
ydjG	20	28	44	31	18	39	21	46	0	0	0	0
ydjH	14	25	14	15	10	12	11	30	0	0	0	2
ydjI	15	17	19	12	6	19	9	21	0	0	0	0
ydjJ	22	24	13	15	17	12	16	15	0	0	0	0
ydjK	8	12	5	7	5	10	4	10	0	0	0	0
ydjL	12	19	16	17	9	17	16	22	0	0	0	0
ydjM	275	344	433	330	274	301	285	499	1	0	1	0
ydjO	0	3	2	2	1	4	3	6	0	0	0	0
ydjX	102	132	258	222	105	144	148	325	2	1	0	1
ydjY	116	199	226	249	111	142	91	240	5	2	0	0
ydjZ	241	235	292	243	173	228	162	300	5	1	0	0
yeaC	779	714	1442	1111	529	802	1000	2189	11	6	1	0
yeaD	932	1046	1114	1090	658	881	617	1139	12	6	4	1
yeaE	231	236	199	239	167	250	121	264	3	4	1	1
yeaG	1463	2467	132	179	928	2115	99	213	41	48	18	21
yeaH	539	775	25	34	392	809	28	69	24	20	9	5
yeaK	45	66	88	64	34	63	80	140	3	4	4	0
yeaL	58	66	61	51	61	55	37	82	0	0	1	0
yeaO	43	59	33	39	22	54	28	75	0	1	0	0
yeaQ	397	348	55	59	303	426	40	89	3	1	1	0
yeaR	3	4	5	10	4	9	3	13	0	0	1	0
yeaV	143	108	156	116	113	94	66	105	0	0	0	0
yeaW	25	33	26	31	16	22	18	74	0	0	0	0
yeaX	710	577	1167	1179	583	544	757	837	0	2	0	1
yeaY	93	77	219	180	79	108	176	408	2	0	0	0
yebB	11	12	10	8	9	13	6	12	0	1	0	0
yebC	292	484	1059	891	223	458	670	2197	20	27	7	9
yebE	335	305	327	358	273	384	536	720	3	1	1	1
yebF	181	236	235	177	169	195	160	379	1	3	1	1
yebG	854	953	821	949	601	934	566	1399	8	11	3	3
yebK	257	338	344	328	126	249	212	540	7	10	0	4
yebO	898	911	1773	1410	948	1131	990	1266	2	1	0	2
yebQ	48	57	87	79	39	42	47	93	2	0	0	1
yebV	36	54	16	8	19	33	9	31	2	0	0	1
yebW	673	818	392	314	476	621	285	426	1	3	0	0
yebY	484	573	1071	993	478	560	657	1298	8	7	0	0
yebZ	3314	3684	5807	5689	3000	3174	3654	5815	16	6	1	2
yecA	914	990	875	896	771	990	590	1130	9	10	6	1
yecD	105	123	113	100	64	101	109	198	6	1	3	0
yecE	135	137	202	151	90	106	115	300	1	4	2	0
yecF	18	37	70	51	18	40	62	97	0	1	0	0
yecH	1367	1248	1003	1457	1075	1369	523	1023	2	0	0	1
yecJ	22	30	38	37	20	25	28	92	0	1	0	0
yecM	98	115	215	155	69	91	110	281	3	1	0	0
yecN	3260	2429	4266	3844	2647	2540	2787	3171	6	5	2	3
yecR	307	286	744	527	214	241	589	1177	4	7	7	1
yecT	0	0	10	1	0	2	2	9	0	0	0	0
yecU	6	6	16	14	12	13	18	31	0	1	0	0
yecV	0	2	6	1	0	3	4	11	0	0	0	0
yedA	106	111	204	108	101	89	118	151	2	0	2	0
yedD	157	161	201	274	100	145	177	257	5	0	0	1
yedE	342	440	2369	2055	316	447	1821	2509	7	6	1	1
yedF	21	31	176	149	12	24	137	399	1	0	1	0
yedI	838	823	1275	1161	739	901	671	1257	6	12	1	0
yedJ	137	136	227	209	102	136	169	303	3	2	1	2
yedK	3	8	29	23	6	10	18	50	1	2	0	0
yedL	7	10	13	9	6	7	13	29	0	0	0	0
yedN	25	22	103	55	10	12	75	182	1	0	2	0
yedP	349	527	42	44	192	455	31	88	3	3	0	4
yedS	79	104	43	49	43	84	38	55	0	1	0	0
yeeA	455	540	301	382	322	466	168	390	6	6	5	0
yeeH	2	4	0	2	2	5	1	3	0	0	0	0
yeeJ	154	217	192	216	112	208	150	480	1	4	0	3
yeeL	13	19	23	19	14	17	13	27	0	0	0	0
yeeN	307	398	615	413	314	457	515	1016	6	4	2	0
yeeO	270	295	359	314	286	285	231	366	2	1	0	1
yeeP	24	28	20	24	15	22	10	32	0	0	0	0
yeeR	31	44	63	49	21	30	37	81	0	1	0	0
yeeS	7	4	11	6	2	6	5	18	0	2	0	0
yeeT	0	1	0	1	1	1	0	0	0	0	0	0
yeeW	5	2	5	1	1	1	3	11	0	0	0	0
yeeY	660	846	776	806	532	738	473	889	4	8	1	0
yeeZ	1248	1516	1618	1534	1040	1440	1160	1836	12	23	6	8
yefM	193	289	309	282	173	252	196	580	6	4	1	2
yegD	27	43	61	59	21	31	61	80	1	1	0	0
yegH	130	171	226	168	91	166	115	308	3	10	2	0
yegI	63	64	59	61	59	65	42	78	2	0	0	0
yegJ	3	4	4	2	4	6	1	7	0	0	0	0
yegL	10	13	5	10	6	15	5	18	0	0	0	0
yegP	40	53	14	12	24	50	13	34	1	2	0	0
yegR	9	15	13	3	14	28	2	13	0	0	0	0
yegS	30	39	10	8	14	39	9	16	0	0	0	0
yegT	88	87	71	75	60	65	48	70	0	1	2	0
yegU	80	86	91	80	57	61	69	118	0	0	1	0
yegV	111	113	126	130	68	86	93	131	2	0	1	0
yegW	114	113	162	146	99	136	90	173	2	1	0	0
yegX	51	62	69	46	47	92	59	87	0	3	0	0
yegZ	6	12	11	12	5	10	6	4	0	0	0	0
yehA	38	47	35	38	49	51	28	39	0	0	0	0
yehB	41	42	36	36	44	49	31	54	0	1	0	0
yehC	7	10	9	14	8	5	8	22	0	0	0	0
yehD	27	43	18	27	33	50	13	40	0	0	0	0
yehE	7	6	4	3	5	9	2	9	0	0	0	0
yehF	8	7	9	3	2	10	9	14	0	1	0	0
yehH	10	15	23	20	10	19	13	27	1	0	0	1
yehI	52	71	48	57	54	61	38	78	0	1	1	0
yehK	0	1	2	2	2	0	1	1	0	0	0	0
yehL	11	3	6	2	7	5	12	15	0	0	0	0
yehM	15	15	19	13	8	18	14	42	0	0	0	1
yehP	10	12	12	12	7	20	6	20	0	1	0	0
yehQ	28	33	22	23	24	24	15	43	2	0	0	0
yehR	10	6	10	15	11	12	15	13	0	0	0	0
yehS	728	912	1082	969	634	911	783	1414	3	11	0	0
yehW	220	292	38	57	195	276	17	43	1	4	1	0
yehX	416	499	72	100	305	392	36	63	5	4	0	0
yehY	327	405	53	70	286	359	46	61	2	6	0	0
yeiB	262	282	435	313	200	278	256	458	6	6	0	0
yeiE	477	594	674	738	375	453	401	669	8	9	2	4
yeiG	3733	4237	3716	3885	3405	4044	2350	3695	15	7	2	2
yeiH	474	394	557	388	399	428	472	548	6	1	0	1
yeiI	98	147	109	105	61	126	93	232	3	6	1	0
yeiL	16	18	16	14	13	20	8	13	0	0	0	0
yeiP	113	138	245	181	69	102	205	393	4	1	1	0
yeiQ	329	483	294	322	232	458	237	684	17	15	4	3
yeiR	83	82	157	129	33	70	103	167	3	2	0	0
yeiS	181	149	190	109	186	152	133	181	1	0	0	0
yeiW	12	16	23	14	9	23	18	35	1	0	0	0
yejA	563	725	603	569	390	549	368	854	4	12	0	6
yejB	314	351	327	257	237	323	196	362	2	6	0	2
yejE	372	429	457	420	357	355	301	380	0	2	1	2
yejF	128	181	178	162	115	139	157	253	1	4	0	0
yejG	1083	1376	834	927	866	1264	1102	1874	11	17	3	1
yejK	104	153	201	215	98	143	147	330	3	4	1	2
yejL	96	104	151	100	62	92	136	306	1	3	0	1
yejO	275	319	267	232	216	337	200	435	2	5	2	2
yfaA	28	36	30	22	16	33	17	52	0	1	1	0
yfaE	207	254	482	460	214	281	247	693	3	6	2	2
yfaH	0	0	1	1	0	1	3	3	0	0	0	0
yfaL	490	536	526	530	370	487	320	575	4	10	0	0
yfaP	4	13	8	4	5	5	5	14	0	0	0	0
yfaQ	53	38	20	23	31	37	18	40	1	1	0	0
yfaS	29	44	47	34	18	46	26	55	3	1	1	0
yfaT	3	8	5	4	1	8	2	7	0	0	0	0
yfaU	28	29	11	12	12	17	10	21	0	2	0	0
yfaV	60	63	39	35	49	56	21	39	0	0	0	0
yfaX	27	20	15	10	25	22	12	19	0	1	0	0
yfaY	1119	1085	1045	1014	851	996	695	1144	6	7	0	2
yfaZ	6	23	77	76	8	21	57	82	0	0	0	0
yfbK	8	9	9	7	9	11	9	25	1	0	0	0
yfbL	4	3	1	2	4	5	3	2	0	0	0	0
yfbM	11	35	14	14	10	30	12	12	1	0	0	0
yfbN	6	6	6	4	9	10	5	11	0	0	0	0
yfbO	6	0	3	2	1	1	2	6	0	0	0	0
yfbP	14	13	29	17	13	17	25	21	0	1	0	0
yfbR	31	41	59	45	23	56	35	98	2	1	1	0
yfbS	2325	2581	1513	2086	1930	2317	1106	1892	38	65	19	22
yfbU	742	964	533	644	535	703	425	867	12	11	5	0
yfbV	613	638	653	551	507	631	426	723	2	10	4	0
yfcA	520	583	848	802	377	479	452	898	2	4	0	0
yfcC	241	231	205	252	200	231	138	221	2	2	0	0
yfcD	1165	1167	1702	1337	1001	1368	1379	2498	7	6	0	0
yfcE	517	537	950	827	448	583	750	1135	6	5	0	3
yfcF	189	195	137	139	127	164	67	179	0	1	1	1
yfcG	21	25	1	2	7	22	6	3	1	0	0	0
yfcH	785	1046	720	784	540	939	523	1251	19	19	7	3
yfcJ	32	34	88	53	26	34	57	54	0	0	0	0
yfcL	157	181	387	337	145	209	279	527	3	1	0	0
yfcO	57	60	37	35	47	62	34	75	3	2	2	0
yfcP	4	3	1	5	2	1	2	6	0	0	0	0
yfcQ	0	0	1	0	1	2	1	2	0	0	0	0
yfcR	3	3	3	3	2	2	0	3	0	0	0	0
yfcS	3	4	1	2	3	1	1	3	0	0	0	0
yfcU	126	157	179	156	120	147	123	228	0	1	0	2
yfcV	1	1	1	1	1	4	2	5	0	0	0	0
yfcZ	2935	3199	2638	3064	2436	3086	1233	2438	31	39	12	11
yfdC	164	196	77	86	116	205	66	99	0	0	0	0
yfdE	0	3	3	2	2	4	0	6	0	0	0	0
yfdF	72	62	186	118	66	84	117	208	1	0	0	0
yfdG	130	127	378	211	124	133	294	419	1	0	0	0
yfdH	199	289	950	621	236	369	954	1558	5	0	0	2
yfdI	297	434	2009	1191	367	714	2100	4787	11	3	2	0
yfdK	1	3	0	2	0	2	5	6	0	0	0	0
yfdL	1	0	3	0	0	0	2	1	0	0	0	0
yfdM	1	2	1	2	1	0	2	2	0	0	0	0
yfdN	2	0	1	1	0	1	2	2	0	0	0	0
yfdO	0	0	1	0	1	0	0	0	0	0	0	0
yfdP	8	15	23	15	8	11	16	9	0	0	0	0
yfdQ	1	4	8	5	6	4	9	11	0	0	0	0
yfdR	2	0	0	1	0	0	1	2	0	0	0	0
yfdS	3	2	1	2	1	1	1	5	0	0	0	0
yfdT	5	4	3	4	3	4	2	7	0	0	0	0
yfdV	5	5	10	3	6	9	11	16	1	0	0	0
yfdX	7	4	5	8	4	4	5	5	0	0	0	0
yfdY	963	828	388	352	845	1033	295	287	0	1	0	0
yfeC	379	501	431	440	260	476	318	635	3	10	4	0
yfeD	412	637	488	590	327	547	348	857	4	12	3	2
yfeH	1384	1161	1710	1598	1338	1253	1092	1103	4	4	0	2
yfeK	51	57	133	107	36	72	100	174	1	0	0	0
yfeN	0	3	2	3	0	3	4	6	0	0	0	0
yfeO	57	54	35	37	53	58	28	51	1	2	2	2
yfeR	34	43	34	25	23	35	17	37	1	0	1	1
yfeS	76	67	125	113	69	86	123	153	1	0	1	0
yfeW	91	161	95	101	79	112	58	148	2	9	0	0
yfeX	4201	4786	2435	3381	3034	4289	1376	3158	73	76	29	28
yfeY	248	270	314	326	164	233	256	373	2	1	1	2
yfeZ	728	675	902	842	604	639	570	797	0	1	1	0
yffB	67	62	44	36	41	50	49	100	2	0	0	2
yffL	118	153	211	187	92	166	137	355	3	0	0	0
yffM	12	13	9	9	13	20	10	13	0	0	0	0
yffN	12	15	10	7	11	14	10	17	0	0	0	0
yffO	17	27	10	8	6	21	13	20	0	0	0	0
yffP	12	8	8	11	9	10	13	24	0	0	0	0
yffQ	34	27	19	19	24	20	14	20	0	0	0	0
yffR	372	287	193	191	214	337	112	214	0	1	0	0
yffS	890	685	619	654	623	778	371	600	0	7	2	2
yfgD	466	525	661	732	343	483	474	746	1	4	3	4
yfgG	34	72	55	52	33	50	70	182	3	3	1	1
yfgH	3	12	22	2	8	15	26	44	0	0	0	1
yfgI	94	97	92	123	80	116	92	156	0	0	0	0
yfgJ	85	92	197	177	93	93	220	266	0	2	0	0
yfgM	823	818	1095	941	634	859	930	1278	8	12	6	2
yfgO	622	629	576	415	499	569	417	544	2	4	1	1
yfhH	43	35	59	45	30	48	40	103	2	0	0	0
yfhL	10	12	18	9	1	8	9	36	3	0	0	0
yfhM	2878	3505	2555	2880	2504	3524	1625	3020	42	72	9	12
yfhR	4	5	19	10	1	16	16	45	1	0	0	0
yfiB	63	71	93	62	60	111	44	142	1	0	1	0
yfiC	48	63	97	67	50	84	66	138	0	0	0	0
yfiE	332	332	382	314	530	508	575	923	4	1	1	1
yfiF	311	368	370	354	194	362	253	673	6	7	5	4
yfiH	566	645	680	628	445	575	389	687	7	2	4	3
yfiL	28	24	16	9	12	22	8	18	0	0	0	0
yfiM	93	112	85	73	96	85	56	53	1	3	2	0
yfiR	158	205	245	168	139	204	138	359	3	7	2	0
yfiS	81	64	15	11	67	57	22	27	2	0	0	0
yfjD	202	231	287	273	158	207	182	421	7	2	0	0
yfjF	177	221	285	233	135	242	230	440	4	1	1	0
yfjH	113	162	195	143	122	149	136	280	1	2	1	0
yfjI	17	16	19	16	16	35	21	59	0	0	0	0
yfjJ	16	14	15	5	20	32	9	12	0	0	0	0
yfjM	3	3	5	5	0	4	4	12	0	0	0	0
yfjP	24	31	26	21	14	30	14	39	0	1	0	0
yfjQ	1	3	2	0	2	7	2	4	0	0	0	0
yfjR	3	8	3	3	6	4	1	6	0	0	0	0
yfjS	39	21	32	33	18	33	17	37	0	0	0	0
yfjT	61	48	89	64	37	78	56	101	0	0	0	0
yfjU	22	17	6	7	9	25	14	11	0	0	0	0
yfjV	61	63	52	56	33	60	47	78	0	2	1	1
yfjW	679	659	914	623	618	886	689	966	2	1	0	0
yfjX	0	0	0	1	1	1	1	2	0	0	0	0
yfjY	0	1	0	2	0	1	0	2	0	0	0	0
yfjZ	0	1	2	2	2	1	1	6	0	0	0	1
ygaC	7	7	7	4	5	7	6	20	0	0	0	0
ygaH	467	570	959	793	411	559	570	937	3	2	1	2
ygaM	3774	3915	580	449	3250	3417	383	556	4	5	2	4
ygaP	31	56	51	48	32	56	30	88	3	1	0	1
ygaQ	1	0	1	1	0	2	2	3	0	0	0	0
ygaV	10	19	26	23	19	22	21	60	5	1	0	0
ygaY	67	62	234	139	50	57	126	209	2	1	0	0
ygaZ	3511	3612	5201	5363	2988	3587	3635	4011	20	13	2	3
ygbA	8	14	16	7	7	17	12	19	0	0	0	0
ygbE	21	26	46	33	12	9	34	58	0	0	1	0
ygbI	307	405	357	400	279	346	220	490	2	3	4	0
ygbJ	40	55	15	19	26	40	13	30	0	0	0	0
ygbK	57	77	27	24	36	45	19	48	1	3	1	0
ygbL	29	40	18	10	26	21	11	31	1	1	1	0
ygbM	18	21	11	7	9	18	7	28	2	0	0	0
ygbN	40	60	41	32	37	55	31	35	0	1	0	0
ygcE	61	91	32	34	40	73	18	74	1	1	0	0
ygcG	13	7	19	13	7	16	17	28	0	0	0	0
ygcN	182	225	167	168	168	253	79	181	3	3	0	0
ygcO	61	98	48	47	68	96	25	43	0	2	1	1
ygcP	69	99	52	61	89	108	26	38	0	2	0	1
ygcQ	7	8	7	10	4	8	5	13	0	1	0	0
ygcR	11	9	8	9	2	10	2	13	0	0	0	0
ygcS	23	36	28	23	32	22	16	23	0	0	0	0
ygcU	9	21	20	20	14	17	10	40	1	0	0	0
ygcW	4	7	7	2	4	10	4	9	0	0	0	0
ygdB	96	85	73	80	70	75	50	87	0	2	0	0
ygdD	234	213	254	136	193	226	181	252	0	0	1	1
ygdG	92	135	184	148	67	138	150	344	2	2	0	0
ygdI	272	322	131	92	292	465	81	148	1	0	1	1
ygdQ	1265	1188	3639	2887	1058	1312	2974	3124	7	3	0	2
ygdR	40	50	51	36	22	34	29	70	0	4	0	0
ygdT	8	4	12	13	8	16	9	7	0	0	0	0
ygeA	135	152	125	101	106	153	93	139	0	0	1	1
ygeF	0	4	1	1	4	3	7	2	0	0	0	0
ygeG	2	5	1	1	2	5	2	5	0	0	0	0
ygeH	1	2	0	4	6	5	3	7	0	0	0	0
ygeI	0	0	0	0	0	0	0	0	0	0	0	0
ygeK	1	2	2	1	1	5	1	4	0	0	0	0
ygeL	0	0	1	0	0	0	0	2	0	0	0	0
ygeN	4	6	3	3	7	10	7	20	0	0	0	0
ygeO	5	3	6	6	5	7	6	14	0	1	0	0
ygeP	12	19	25	20	19	30	10	33	0	0	0	0
ygeQ	54	70	97	59	84	90	78	161	0	0	0	0
ygeV	2774	4093	1443	1931	1888	3626	612	2141	57	68	18	19
ygeW	178	340	22	67	208	374	19	58	21	20	5	3
ygeX	78	159	18	21	93	215	8	29	13	17	3	6
ygeY	89	137	29	42	131	215	22	49	9	4	10	5
ygfB	1775	1941	2048	2349	1211	1923	1575	2923	29	16	10	8
ygfF	159	205	177	162	87	188	128	260	7	7	3	2
ygfK	922	1557	163	240	1044	1630	109	225	69	56	30	26
ygfM	59	82	25	29	133	173	15	27	10	13	4	2
ygfS	10	23	13	5	12	22	9	15	1	0	1	0
ygfT	40	48	29	33	37	75	21	34	1	3	2	0
ygfX	1018	1011	1161	1057	934	1006	789	1106	13	10	2	3
ygfZ	1157	1303	1373	1634	745	1122	1016	1879	24	39	4	8
yggC	114	163	140	129	93	149	99	165	3	2	1	0
yggE	353	454	223	203	285	501	227	399	3	6	1	0
yggF	27	57	51	38	32	41	68	96	1	1	1	0
yggI	4	5	6	9	9	1	9	17	0	0	0	0
yggL	490	557	709	834	362	560	581	1049	7	7	3	0
yggM	158	142	73	82	123	211	44	102	1	4	1	1
yggN	219	258	332	328	187	287	252	500	3	6	0	0
yggP	10	14	13	19	8	11	16	30	0	0	0	0
yggR	46	39	34	42	25	32	22	41	0	1	0	1
yggS	91	155	198	140	62	131	148	330	4	1	2	1
yggT	88	111	140	93	66	83	124	250	2	1	0	0
yggU	33	58	51	40	23	41	42	116	1	1	1	0
yggX	2962	2615	4493	3470	2425	2860	3226	4729	13	4	4	3
